發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
106,7,20,8,50,2,07信義區,信義區信義路5段150巷14弄與松仁路口,0,1,1,B03,1,68,3,8,50,4,1
106,7,20,8,50,2,07信義區,信義區信義路5段150巷14弄與松仁路口,0,1,2,C03,1,29,2,8,50,4,1
106,7,24,7,50,2,07信義區,信義區忠孝東路5段236巷與忠孝東路5段口,0,1,1,C03,1,32,2,8,50,4,2
106,7,24,7,50,2,07信義區,信義區忠孝東路5段236巷與忠孝東路5段口,0,1,2,B03,1,39,3,8,50,4,2
106,7,20,7,40,2,07信義區,信義區松高路與市府路口,0,1,1,B03,1,40,3,8,50,4,2
106,7,20,7,40,2,07信義區,信義區松高路與市府路口,0,1,2,C03,1,63,2,8,50,4,2
106,7,25,12,10,2,07信義區,信義區和平東路3段與和平東路3段341巷口,0,2,1,C03,1,24,2,8,50,5,2
106,7,25,12,10,2,07信義區,信義區和平東路3段與和平東路3段341巷口,0,2,2,C03,1,22,2,8,50,5,2
106,7,25,14,23,2,07信義區,信義區基隆路1段與松壽路口,0,1,1,C03,2,20,2,8,50,5,2
106,7,25,14,23,2,07信義區,信義區基隆路1段與松壽路口,0,1,2,B03,1,35,3,8,50,5,2
106,7,26,8,50,2,07信義區,信義區基隆路2段41號,0,1,1,B03,2,60,3,8,50,14,9
106,7,26,8,50,2,07信義區,信義區基隆路2段41號,0,1,2,C03,1,23,2,8,50,14,9
106,8,17,16,51,2,07信義區,信義區基隆路1段與東興路口,0,1,1,C03,1,26,2,8,50,14,9
106,8,17,16,51,2,07信義區,信義區基隆路1段與東興路口,0,1,2,B01,1,57,3,8,50,14,9
106,8,17,22,44,2,07信義區,信義區信義路6段與松山路口,0,1,3,B03,1,66,3,8,50,4,2
106,7,3,17,1,2,07信義區,信義區吳興街284巷24弄與吳興街口口,0,1,1,C03,2,49,2,8,40,4,1
106,7,3,17,1,2,07信義區,信義區吳興街284巷24弄與吳興街口口,0,1,2,B01,1,55,3,8,40,4,1
106,7,4,10,59,2,07信義區,信義區松仁路與信義路5段150巷14弄口口,0,1,1,B01,1,51,3,8,50,4,2
106,7,4,10,59,2,07信義區,信義區松仁路與信義路5段150巷14弄口口,0,1,2,H01,2,39,2,8,50,4,2
106,7,5,9,30,2,07信義區,信義區松仁路與松壽路口,0,1,1,B03,2,56,3,8,50,4,1
106,7,5,9,30,2,07信義區,信義區松仁路與松壽路口,0,1,2,C04,2,35,2,8,50,4,1
106,7,9,2,28,2,07信義區,信義區永吉路30巷與永吉路口口,0,2,1,B03,1,37,4,8,50,4,1
106,7,9,2,28,2,07信義區,信義區永吉路30巷與永吉路口口,0,2,2,B01,1,62,4,8,50,4,1
106,7,9,2,28,2,07信義區,信義區永吉路30巷與永吉路口口,0,2,3,H02,1,39,2,8,50,4,1
